concurrency,jobs_ok,jobs_failed,wall_s,lat_min_s,lat_mean_s,lat_max_s,server_proc_mean_s,gpu_peak_mem_MiB,gpu_mem_over_idle_MiB,gpu_mean_util_pct,gpu_peak_util_pct,gpu_busy_s,host_ram_peak_GiB,files_per_min,realtime_factor
1,1,0,10.1,10.1,10.1,10.1,8.7,33068,3744,40.9,99,4.1,21.85,5.94,47.32
2,2,0,14.1,14.1,14.1,14.1,13.7,36844,7520,71.2,100,10.1,21.92,8.48,67.58
3,3,0,20.2,20.2,20.2,20.2,18.4,40620,11296,74.8,100,15.1,21.88,8.89,70.85
