concurrency,jobs_ok,jobs_failed,wall_s,lat_min_s,lat_mean_s,lat_max_s,server_proc_mean_s,gpu_peak_mem_MiB,gpu_mem_over_idle_MiB,gpu_mean_util_pct,gpu_peak_util_pct,gpu_busy_s,host_ram_peak_GiB,files_per_min,realtime_factor
1,1,0,10.1,10.1,10.1,10.1,8.9,17812,3584,43.9,90,4.4,15.75,5.94,47.31
2,2,0,28.2,28.2,28.2,28.2,26.9,21556,7328,30.2,100,8.5,15.86,4.25,33.85
4,4,0,56.5,28.3,41.9,56.5,27.1,21556,7328,31.9,100,18.0,15.92,4.24,33.81
