concurrency,repetition,job_id,url,client_latency_s,server_proc_s,num_speakers,upload_save_s,queue_wait_s,load_audio_s,prepare_asr_model_s,transcribe_s,prepare_align_model_s,align_s,prepare_diarize_model_s,diarize_s,assign_speakers_s,format_outputs_s,write_outputs_s,pipeline_s,processing_s,persist_metadata_s,total_server_s
3,3,1-d40cac5f8143,http://localhost:8357,14.415045,13.411731,5,0.013538,0.00033,0.121307,7e-06,3.452846,7e-06,3.112948,5e-06,6.257276,0.466137,0.000217,0.000208,13.411283,13.411764,0.005321,13.431065
3,3,1-f9001b454bcb,http://localhost:8357,24.486344,8.723161,5,0.015585,13.366848,0.107732,7e-06,1.882071,6e-06,3.038822,6e-06,3.22927,0.463041,0.000214,0.0012,8.722855,8.723192,0.005747,22.11148
3,4,0-9d14c0935ddd,http://localhost:8357,14.389953,13.417793,5,0.014223,0.000125,0.292612,5e-06,3.384378,7e-06,2.922444,6e-06,6.349223,0.459861,0.00022,0.000156,13.409213,13.417823,0.005321,13.437617
3,4,1-05977a6b435a,http://localhost:8357,14.419131,13.39886,5,0.014537,0.000152,0.119637,5e-06,3.375321,5e-06,3.068754,5e-06,6.355419,0.4785,0.00022,0.000166,13.398388,13.398888,0.005622,13.41932
3,4,1-25113d1ae4ff,http://localhost:8357,24.510374,8.735421,5,0.016007,13.35451,0.115088,7e-06,1.882577,7e-06,3.033708,5e-06,3.22134,0.480815,0.000241,0.000918,8.735029,8.735448,0.005243,22.111312
3,5,1-3365e162f48d,http://localhost:8357,14.397756,13.372888,5,0.014265,0.000289,0.110974,1.5e-05,3.435832,7e-06,3.100916,6e-06,6.250461,0.473307,0.000213,0.000212,13.372269,13.372918,0.005253,13.392853
3,5,0-a3c347355538,http://localhost:8357,14.399409,13.521044,5,0.01351,0.000113,0.147066,6e-06,3.463805,8e-06,3.19108,7e-06,6.208784,0.501012,0.000263,0.000174,13.512564,13.521075,0.005814,13.540628
3,5,1-b07f8176e98b,http://localhost:8357,24.701113,8.977346,5,0.014487,13.335059,0.11419,4e-06,1.874158,7e-06,3.284443,6e-06,3.223043,0.479536,0.000244,0.000955,8.976978,8.977372,0.005219,22.332241
4,1,1-915898f485eb,http://localhost:8357,14.537011,13.38794,5,0.014433,0.000122,0.116628,7e-06,3.448534,7e-06,3.074446,1.1e-05,6.287656,0.459601,0.000213,0.00019,13.387583,13.38796,0.005326,13.407941
4,1,0-119f8fd56a33,http://localhost:8357,14.549446,13.358857,5,0.013689,0.000114,0.203145,5e-06,3.482955,7e-06,2.915306,6e-06,6.281114,0.466442,0.00023,0.000173,13.349702,13.358883,0.005228,13.378037
4,1,0-1610141829ff,http://localhost:8357,28.589084,13.395455,5,0.018141,13.287883,0.25169,5e-06,3.42434,6e-06,2.905939,7e-06,6.319608,0.491403,0.000226,0.000189,13.393792,13.395492,0.005674,26.707372
4,1,1-8fa95ada8786,http://localhost:8357,28.591025,13.3581,5,0.019541,13.296523,0.117892,8e-06,3.368022,8e-06,3.080885,5e-06,6.329867,0.460503,0.000214,0.000138,13.357843,13.358129,0.005285,26.679613
4,2,1-e3a66967907c,http://localhost:8357,14.52572,13.398421,5,0.014369,0.000151,0.126812,5e-06,3.452212,5e-06,3.108241,5e-06,6.250371,0.459634,0.000213,0.000158,13.397961,13.398441,0.005399,13.418466
4,2,0-39510d507cce,http://localhost:8357,14.523943,13.379457,5,0.014729,0.000153,0.164591,5e-06,3.539826,6e-06,2.921774,6e-06,6.28062,0.47143,0.000222,0.000185,13.379025,13.379494,0.005789,13.400285
4,2,1-41be17fd2003,http://localhost:8357,28.613487,13.253473,5,0.019321,13.300912,0.109726,7e-06,3.455969,7e-06,3.05466,6e-06,6.169004,0.463099,0.000215,0.000149,13.253133,13.253535,0.005767,26.579685
4,2,0-127a21b628d0,http://localhost:8357,28.951736,13.165469,5,0.019381,13.297322,0.109369,8e-06,3.436691,5e-06,2.91587,7e-06,6.207808,0.493618,0.000225,0.000179,13.164913,13.165501,0.005628,26.487952
4,3,1-1ddd1a068245,http://localhost:8357,14.53354,13.408642,5,0.013948,0.000121,0.111119,7e-06,3.553513,7e-06,3.048603,5e-06,6.213791,0.480486,0.000248,0.000158,13.408256,13.408669,0.005342,13.428203
4,3,0-c4a1dea27a32,http://localhost:8357,14.536553,13.31946,5,0.013909,0.000365,0.11254,5e-06,3.587314,8e-06,2.903381,6e-06,6.228205,0.486736,0.000222,0.000182,13.318928,13.319497,0.00574,13.339647
4,3,0-542381be94eb,http://localhost:8357,28.609633,13.184928,5,0.017492,13.253898,0.115817,6e-06,3.420017,7e-06,2.918674,6e-06,6.242947,0.48634,0.000219,0.000177,13.184574,13.184959,0.005164,26.461636
4,3,1-498d5d07fb77,http://localhost:8357,28.62801,13.172735,5,0.01877,13.328854,0.112825,5e-06,3.392059,7e-06,3.036125,8e-06,6.162438,0.468131,0.000216,0.000198,13.17233,13.172779,0.005903,26.526438
4,4,1-ba2c7f0849c1,http://localhost:8357,14.241199,13.187232,5,0.014236,0.000122,0.109561,1e-05,3.229017,7e-06,3.06253,6e-06,6.326447,0.458378,0.000212,0.000214,13.186744,13.187263,0.005435,13.207183
4,4,0-6d3edd76ac97,http://localhost:8357,14.484025,13.071186,5,0.012681,0.000128,0.112749,7e-06,3.291989,7e-06,2.868812,6e-06,6.337854,0.458535,0.000261,0.000147,13.070662,13.071226,0.005587,13.089748
4,4,1-155f306dadab,http://localhost:8357,28.609582,13.453048,5,0.017633,12.968247,0.11279,1.4e-05,3.467485,7e-06,3.097712,5e-06,6.278572,0.495196,0.000215,0.0002,13.452735,13.453091,0.005911,26.445005
4,4,0-e21862e311e7,http://localhost:8357,28.665919,13.276691,5,0.020368,12.983865,0.107831,7e-06,3.496478,7e-06,2.908694,6e-06,6.28883,0.473681,0.00022,0.000195,13.276367,13.276721,0.00521,26.286302
4,5,0-f89a16ab9fb7,http://localhost:8357,14.533777,13.339911,5,0.013063,0.00016,0.122045,5e-06,3.549723,4e-06,2.901137,6e-06,6.291286,0.474517,0.000222,0.000178,13.339514,13.339947,0.005602,13.358899
4,5,1-29adb0b6acf0,http://localhost:8357,14.540353,13.350642,5,0.014261,0.000395,0.118154,5e-06,3.507156,5e-06,3.044364,5e-06,6.213422,0.466212,0.000212,0.000208,13.350043,13.350668,0.005279,13.370715
4,5,1-f160ac7763b9,http://localhost:8357,28.575425,13.338423,5,0.018629,13.264008,0.115883,4e-06,3.508498,7e-06,3.06257,6e-06,6.170968,0.479423,0.000238,0.000169,13.338117,13.338463,0.005951,26.627185
4,5,0-d4446e402bcb,http://localhost:8357,28.633963,13.242323,5,0.017355,13.240505,0.109513,5e-06,3.507709,6e-06,2.920375,6e-06,6.210814,0.492814,0.000226,0.000173,13.241974,13.242362,0.005587,26.505932
